place_id,name,state,lga,lat,lon,is_hub,place_type,loc_code,area_sqkm,source,source_objectid,official_name_raw,point_method,graph_node,official_centre_lat,official_centre_lon,roadpoint_offset_m
qld_locality_1497,Kuraby,QLD,Brisbane City,-27.6051807,153.0926701,0,locality_road_representative_point,1497,4.512840000000001,qld_admin_boundaries_locality_boundary,2226,Kuraby,road_node_inside_locality,3784838,-27.6051821,153.0929917,35.8
qld_locality_1499,Kuranda,QLD,Mareeba Shire,-16.8284450,145.6113294,0,locality_road_representative_point,1499,110.875012,qld_admin_boundaries_locality_boundary,2227,Kuranda,road_node_inside_locality,124314,-16.8305008,145.6096769,301.7
qld_locality_1501,Kureelpa,QLD,Sunshine Coast Regional,-26.6108315,152.8938746,0,locality_road_representative_point,1501,13.591961000000001,qld_admin_boundaries_locality_boundary,2228,Kureelpa,road_node_inside_locality,2217546,-26.6083293,152.8934116,315.8
qld_locality_4891,Kureen,QLD,Tablelands Regional,-17.3400360,145.5877879,0,locality_road_representative_point,4891,9.618908,qld_admin_boundaries_locality_boundary,2229,Kureen,road_node_inside_locality,28927,-17.3354314,145.5875518,537.6
qld_locality_3774,Kuridala,QLD,Cloncurry Shire,-21.0876436,140.3167167,0,locality_road_representative_point,3774,5858.375988,qld_admin_boundaries_locality_boundary,2230,Kuridala,road_node_inside_locality,6521,-21.1051582,140.3934177,8790.3
qld_locality_1504,Kurrimine Beach,QLD,Cassowary Coast Regional,-17.7746021,146.1095212,0,locality_road_representative_point,1504,143.43468,qld_admin_boundaries_locality_boundary,2231,Kurrimine Beach,road_node_inside_locality,252367,-17.7510682,146.1258052,3294.5
qld_locality_4256,Kurrowah,QLD,Toowoomba Regional,-27.6835509,151.1902374,0,locality_road_representative_point,4256,285.61321,qld_admin_boundaries_locality_boundary,2232,Kurrowah,road_node_inside_locality,1680012,-27.7197678,151.1737933,4907.7
qld_locality_3520,Kurumbul,QLD,Goondiwindi Regional,-28.5470320,150.4616016,0,locality_road_representative_point,3520,258.94083600000005,qld_admin_boundaries_locality_boundary,2233,Kurumbul,road_node_inside_locality,1590436,-28.5743819,150.4951701,5097.0
qld_locality_1505,Kurwongbah,QLD,Moreton Bay City,-27.2242875,152.9353948,0,locality_road_representative_point,1505,42.422086,qld_admin_boundaries_locality_boundary,2234,Kurwongbah,road_node_inside_locality,2044696,-27.2249846,152.9369871,197.6
qld_locality_1506,Kuttabul,QLD,Mackay Regional,-21.0242986,148.8952587,0,locality_road_representative_point,1506,127.965638,qld_admin_boundaries_locality_boundary,2235,Kuttabul,road_node_inside_locality,855189,-21.0239122,148.9041354,989.2
qld_locality_4519,Kybong,QLD,Gympie Regional,-26.2883957,152.7090684,0,locality_road_representative_point,4519,36.084925999999996,qld_admin_boundaries_locality_boundary,2236,Kybong,road_node_inside_locality,1967543,-26.2868345,152.7079606,229.7
qld_locality_3702,Kynuna,QLD,McKinlay Shire,-21.2326265,141.8943122,0,locality_road_representative_point,3702,6111.896727,qld_admin_boundaries_locality_boundary,2257,Kynuna,road_node_inside_locality,518265,-21.3001330,141.8407984,10025.7
qld_locality_3819,Kynuna,QLD,Winton Shire,-21.7876457,142.3208066,0,locality_road_representative_point,3819,2342.426524,qld_admin_boundaries_locality_boundary,2109,Kynuna,road_node_inside_locality,520256,-21.7678074,142.3252445,2428.9
qld_locality_5333,Kyoomba,QLD,Southern Downs Regional,-28.6850977,151.9822011,0,locality_road_representative_point,5333,8.51439,qld_admin_boundaries_locality_boundary,2130,Kyoomba,road_node_inside_locality,2608233,-28.6951269,151.9850470,1311.5
qld_locality_1508,Labrador,QLD,Gold Coast City,-27.9455620,153.4004849,0,locality_road_representative_point,1508,5.745483,qld_admin_boundaries_locality_boundary,2266,Labrador,road_node_inside_locality,2956851,-27.9457063,153.4008243,41.9
qld_locality_1509,Laceys Creek,QLD,Moreton Bay City,-27.2317489,152.7209615,0,locality_road_representative_point,1509,89.910191,qld_admin_boundaries_locality_boundary,2267,Laceys Creek,road_node_inside_locality,1942891,-27.2319737,152.7216673,83.5
qld_locality_5140,Laglan,QLD,Isaac Regional,-22.4164858,146.2580331,0,locality_road_representative_point,5140,3169.8225380000003,qld_admin_boundaries_locality_boundary,2268,Laglan,road_node_inside_locality,561045,-22.3862173,146.3151376,7327.5
qld_locality_4520,Lagoon Pocket,QLD,Gympie Regional,-26.2780257,152.6807600,0,locality_road_representative_point,4520,7.062101,qld_admin_boundaries_locality_boundary,2110,Lagoon Pocket,road_node_inside_locality,1966233,-26.2764512,152.6838709,397.7
qld_locality_4734,Laguna Quays,QLD,Mackay Regional,-20.6208215,148.6614392,0,locality_road_representative_point,4734,20.358857,qld_admin_boundaries_locality_boundary,2111,Laguna Quays,road_node_inside_locality,846670,-20.6244151,148.6631132,466.3
qld_locality_1511,Laidley,QLD,Lockyer Valley Regional,-27.6405571,152.4148695,0,locality_road_representative_point,1511,17.780895,qld_admin_boundaries_locality_boundary,2116,Laidley,road_node_inside_locality,2443130,-27.6398272,152.4132876,198.5
qld_locality_4000,Laidley Creek West,QLD,Lockyer Valley Regional,-27.6715756,152.3472431,0,locality_road_representative_point,4000,10.931119,qld_admin_boundaries_locality_boundary,2112,Laidley Creek West,road_node_inside_locality,2404896,-27.6709983,152.3521702,553.3
qld_locality_3999,Laidley Heights,QLD,Lockyer Valley Regional,-27.6303289,152.3658697,0,locality_road_representative_point,3999,16.150471,qld_admin_boundaries_locality_boundary,2113,Laidley Heights,road_node_inside_locality,2441758,-27.6296610,152.3656691,86.8
qld_locality_4003,Laidley North,QLD,Lockyer Valley Regional,-27.6122710,152.4026102,0,locality_road_representative_point,4003,15.331138,qld_admin_boundaries_locality_boundary,2114,Laidley North,road_node_inside_locality,2441582,-27.6092232,152.4043226,427.7
