place_id,name,place_type,state,lga,lat,lon,is_hub,nearest_node,snap_distance_m,hub_access_before,hub_access_impassable_only,hub_access_all_blocking,isolation_category,isolation_confidence,isolation_reason,nearby_blocking_closures_json
889,Croydon,,QLD,,-18.2043431,142.2447977,False,38741,50.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
919,Dajarra,,QLD,,-21.6947487,139.5140034,False,6275,42.3,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
920,Dalby,,QLD,,-27.1822593,151.2634168,False,928358,72.0,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1009,Doolandella,,QLD,,-27.6170218,152.982537,False,3703893,36.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1066,East Greenmount,,QLD,,-27.7739227,151.9479851,False,2278487,418.7,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1103,El Arish,,QLD,,-17.8055705,146.005344,False,250830,57.8,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1217,Forest Lake,,QLD,,-27.6228769,152.9702476,False,2557203,69.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1265,Gayndah,,QLD,,-25.6246003,151.6083508,False,1764358,37.3,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1288,Gin Gin,,QLD,,-24.9928306,151.9572254,False,1087984,24.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1302,Glen Aplin,,Qld,,-28.7383899,151.877181,False,2322324,49.8,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1321,Glenmorgan,,QLD,,-27.2492505,149.6770934,False,1169628,70.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1345,Goombungee,,QLD,,-27.3048246,151.8508953,False,1724257,93.4,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1347,Goondiwindi,,QLD,,-28.5471732,150.3073801,False,1588166,13.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1353,Gordonvale,,QLD,,-17.0935921,145.7841829,False,262149,106.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1383,Greenmount,,QLD,,-27.7866626,151.9054167,False,2272588,41.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1442,Hampton,,QLD,,-27.3570077,152.0692403,False,1815025,48.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1449,Harlaxton,,QLD,,-27.5295699,151.9567544,False,2362542,63.0,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1455,Harristown,,QLD,,-27.5768649,151.9325511,False,2328012,113.2,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1490,Helidon,,QLD,,-27.5505235,152.1244658,False,2334856,58.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1497,Herberton,,QLD,,-17.3841292,145.3856563,False,181923,79.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1502,Hervey Bay,,QLD,,-25.2985784,152.8535216,True,1425352,64.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1557,Hughenden,,QLD,,-20.8422448,144.2002892,False,19068,48.0,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1580,Imbil,,QLD,,-26.4604871,152.6763063,False,1988534,69.8,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1582,Indooroopilly,,QLD,,-27.5014579,152.9745281,False,3138866,60.4,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1583,Ingham,,QLD,,-18.6476374,146.1603448,False,1271502,15.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1589,Injune,,QLD,,-25.8428201,148.5660188,False,786720,47.6,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1592,Innisfail,,QLD,,-17.5241721,146.0311418,False,1290916,3.4,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1609,Jandowae,,QLD,,-26.7827089,151.1114103,False,1692026,36.0,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1616,Jericho,,QLD,,-23.6036388,146.1241529,False,643293,121.0,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1636,Julia Creek,,QLD,,-20.6568484,141.7450538,False,17501,83.3,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1643,Kaimkillenbun,,QLD,,-27.0600645,151.434263,False,1697445,118.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1654,Kandanga,,QLD,,-26.387641,152.67709,False,1873229,41.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1699,Kenilworth,,QLD,,-26.5953498,152.7272623,False,2218755,45.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1727,Kilcoy,,QLD,,-26.9426721,152.5653789,False,1864502,51.3,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1728,Kilkivan,,QLD,,-26.0857107,152.2371582,False,1900771,51.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1733,Killarney,,QLD,,-28.3353902,152.2957331,False,2288297,21.1,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1746,Kingaroy,,QLD,,-26.5412563,151.8394231,False,1837489,34.7,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
1758,Kingsthorpe,,QLD,,-27.4742182,151.8155622,False,2351990,68.9,True,True,True,not_isolated,high,Place still has hub access under both closure scenarios.,[]
